transaction_id,customer_id,product_id,transaction_date,amount,currency,status
TXN-10001,CUST-0001,PROD-02,2026-02-20,299.0,USD,Settled
TXN-10002,CUST-0001,PROD-02,2026-03-22,299.0,USD,Settled
TXN-10003,CUST-0001,PROD-02,2026-04-21,299.0,USD,Settled
TXN-10004,CUST-0001,PROD-02,2026-05-21,299.0,USD,Settled
TXN-10005,CUST-0001,PROD-02,2026-06-20,299.0,USD,Settled
TXN-10006,CUST-0001,PROD-02,2026-07-20,299.0,USD,Settled
TXN-10007,CUST-0002,PROD-02,2025-10-29,299.0,USD,Settled
TXN-10008,CUST-0002,PROD-02,2025-11-28,299.0,USD,Settled
TXN-10009,CUST-0002,PROD-02,2025-12-28,299.0,USD,Settled
TXN-10010,CUST-0002,PROD-02,2026-01-27,299.0,USD,Settled
TXN-10011,CUST-0002,PROD-02,2026-02-26,299.0,USD,Settled
TXN-10012,CUST-0002,PROD-02,2026-03-28,299.0,USD,Refunded
TXN-10013,CUST-0002,PROD-02,2026-04-27,299.0,USD,Settled
TXN-10014,CUST-0002,PROD-02,2026-05-27,299.0,USD,Settled
TXN-10015,CUST-0002,PROD-02,2026-06-26,239.2,USD,Settled
TXN-10016,CUST-0002,PROD-02,2026-07-26,269.1,USD,Settled
TXN-10017,CUST-0003,PROD-01,2025-08-24,99.0,USD,Settled
TXN-10018,CUST-0003,PROD-01,2025-09-23,89.1,USD,Settled
TXN-10019,CUST-0003,PROD-01,2025-10-23,99.0,USD,Settled
TXN-10020,CUST-0003,PROD-01,2025-11-22,99.0,USD,Settled
TXN-10021,CUST-0003,PROD-01,2025-12-22,99.0,USD,Settled
TXN-10022,CUST-0003,PROD-01,2026-01-21,99.0,USD,Settled
TXN-10023,CUST-0003,PROD-01,2026-02-20,99.0,USD,Settled
TXN-10024,CUST-0003,PROD-01,2026-03-22,99.0,USD,Settled
TXN-10025,CUST-0003,PROD-01,2026-04-21,99.0,USD,Settled
TXN-10026,CUST-0003,PROD-01,2026-05-21,99.0,USD,Settled
TXN-10027,CUST-0003,PROD-01,2026-06-20,99.0,USD,Settled
TXN-10028,CUST-0003,PROD-01,2026-07-20,99.0,USD,Settled
TXN-10029,CUST-0004,PROD-02,2025-06-18,299.0,USD,Settled
TXN-10030,CUST-0004,PROD-02,2025-07-18,299.0,USD,Settled
TXN-10031,CUST-0004,PROD-02,2025-08-17,299.0,USD,Settled
TXN-10032,CUST-0004,PROD-02,2025-09-16,299.0,USD,Settled
TXN-10033,CUST-0004,PROD-02,2025-10-16,299.0,USD,Settled
TXN-10034,CUST-0004,PROD-02,2025-11-15,299.0,USD,Settled
TXN-10035,CUST-0004,PROD-02,2025-12-15,299.0,USD,Settled
TXN-10036,CUST-0004,PROD-02,2026-01-14,299.0,USD,Settled
TXN-10037,CUST-0004,PROD-02,2026-02-13,299.0,USD,Settled
TXN-10038,CUST-0004,PROD-02,2026-03-15,299.0,USD,Settled
TXN-10039,CUST-0004,PROD-02,2026-04-14,299.0,USD,Settled
TXN-10040,CUST-0004,PROD-02,2026-05-14,299.0,USD,Settled
TXN-10041,CUST-0005,PROD-02,2026-03-09,299.0,USD,Failed
TXN-10042,CUST-0005,PROD-02,2026-04-08,299.0,USD,Settled
TXN-10043,CUST-0005,PROD-02,2026-05-08,299.0,USD,Refunded
TXN-10044,CUST-0005,PROD-02,2026-06-07,299.0,USD,Settled
TXN-10045,CUST-0005,PROD-02,2026-07-07,299.0,USD,Settled
TXN-10046,CUST-0006,PROD-01,2024-11-25,99.0,USD,Settled
TXN-10047,CUST-0006,PROD-01,2024-12-25,99.0,USD,Settled
TXN-10048,CUST-0006,PROD-01,2025-01-24,89.1,USD,Refunded
TXN-10049,CUST-0006,PROD-01,2025-02-23,99.0,USD,Settled
TXN-10050,CUST-0006,PROD-01,2025-03-25,79.2,USD,Settled
TXN-10051,CUST-0006,PROD-01,2025-04-24,99.0,USD,Settled
TXN-10052,CUST-0006,PROD-01,2025-05-24,99.0,USD,Settled
TXN-10053,CUST-0006,PROD-01,2025-06-23,99.0,USD,Settled
TXN-10054,CUST-0006,PROD-01,2025-07-23,99.0,USD,Settled
TXN-10055,CUST-0006,PROD-01,2025-08-22,99.0,USD,Settled
TXN-10056,CUST-0006,PROD-01,2025-09-21,89.1,USD,Settled
TXN-10057,CUST-0006,PROD-01,2025-10-21,79.2,USD,Settled
TXN-10058,CUST-0006,PROD-01,2025-11-20,99.0,USD,Settled
TXN-10059,CUST-0006,PROD-01,2025-12-20,79.2,USD,Settled
TXN-10060,CUST-0006,PROD-01,2026-01-19,99.0,USD,Settled
TXN-10061,CUST-0006,PROD-01,2026-02-18,99.0,USD,Settled
TXN-10062,CUST-0006,PROD-01,2026-03-20,89.1,USD,Settled
TXN-10063,CUST-0006,PROD-01,2026-04-19,99.0,USD,Settled
TXN-10064,CUST-0006,PROD-01,2026-05-19,99.0,USD,Settled
TXN-10065,CUST-0006,PROD-01,2026-06-18,99.0,USD,Settled
TXN-10066,CUST-0006,PROD-01,2026-07-18,99.0,USD,Settled
TXN-10067,CUST-0007,PROD-01,2024-10-08,99.0,USD,Settled
TXN-10068,CUST-0007,PROD-01,2024-11-07,99.0,USD,Settled
TXN-10069,CUST-0007,PROD-01,2024-12-07,99.0,USD,Settled
TXN-10070,CUST-0007,PROD-01,2025-01-06,99.0,USD,Settled
TXN-10071,CUST-0007,PROD-01,2025-02-05,99.0,USD,Settled
TXN-10072,CUST-0007,PROD-01,2025-03-07,99.0,USD,Settled
TXN-10073,CUST-0007,PROD-01,2025-04-06,99.0,USD,Settled
TXN-10074,CUST-0007,PROD-01,2025-05-06,99.0,USD,Settled
TXN-10075,CUST-0007,PROD-01,2025-06-05,99.0,USD,Settled
TXN-10076,CUST-0007,PROD-01,2025-07-05,99.0,USD,Settled
TXN-10077,CUST-0007,PROD-01,2025-08-04,99.0,USD,Settled
TXN-10078,CUST-0007,PROD-01,2025-09-03,79.2,USD,Settled
TXN-10079,CUST-0007,PROD-01,2025-10-03,99.0,USD,Settled
TXN-10080,CUST-0007,PROD-01,2025-11-02,99.0,USD,Settled
TXN-10081,CUST-0007,PROD-01,2025-12-02,99.0,USD,Refunded
TXN-10082,CUST-0007,PROD-01,2026-01-01,99.0,USD,Settled
TXN-10083,CUST-0007,PROD-01,2026-01-31,99.0,USD,Settled
TXN-10084,CUST-0007,PROD-01,2026-03-02,99.0,USD,Settled
TXN-10085,CUST-0007,PROD-01,2026-04-01,99.0,USD,Refunded
TXN-10086,CUST-0007,PROD-01,2026-05-01,89.1,USD,Settled
TXN-10087,CUST-0007,PROD-01,2026-05-31,99.0,USD,Settled
TXN-10088,CUST-0007,PROD-01,2026-06-30,99.0,USD,Settled
TXN-10089,CUST-0008,PROD-02,2025-02-18,299.0,USD,Settled
TXN-10090,CUST-0008,PROD-02,2025-03-20,299.0,USD,Settled
TXN-10091,CUST-0008,PROD-02,2025-04-19,299.0,USD,Settled
TXN-10092,CUST-0008,PROD-02,2025-05-19,239.2,USD,Settled
TXN-10093,CUST-0008,PROD-02,2025-06-18,299.0,USD,Settled
TXN-10094,CUST-0008,PROD-02,2025-07-18,299.0,USD,Settled
TXN-10095,CUST-0008,PROD-02,2025-08-17,299.0,USD,Settled
TXN-10096,CUST-0008,PROD-02,2025-09-16,299.0,USD,Settled
TXN-10097,CUST-0008,PROD-02,2025-10-16,299.0,USD,Settled
TXN-10098,CUST-0008,PROD-02,2025-11-15,299.0,USD,Settled
TXN-10099,CUST-0008,PROD-02,2025-12-15,269.1,USD,Settled
TXN-10100,CUST-0008,PROD-02,2026-01-14,299.0,USD,Settled
TXN-10101,CUST-0008,PROD-02,2026-02-13,299.0,USD,Settled
TXN-10102,CUST-0008,PROD-02,2026-03-15,269.1,USD,Settled
TXN-10103,CUST-0008,PROD-02,2026-04-14,299.0,USD,Settled
TXN-10104,CUST-0008,PROD-02,2026-05-14,299.0,USD,Settled
TXN-10105,CUST-0008,PROD-02,2026-06-13,299.0,USD,Refunded
TXN-10106,CUST-0008,PROD-02,2026-07-13,299.0,USD,Settled
TXN-10107,CUST-0009,PROD-01,2026-07-14,99.0,USD,Settled
TXN-10108,CUST-0010,PROD-02,2026-06-15,299.0,USD,Refunded
TXN-10109,CUST-0010,PROD-02,2026-07-15,299.0,USD,Refunded
TXN-10110,CUST-0011,PROD-02,2025-12-23,299.0,USD,Settled
